table,column,dtype,non_null,n_unique,example,provenance
creators,influencer_id,str,2000,2000,INF00000,identifier
creators,handle,str,2000,1598,@urban_ish_hq718,derived
creators,primary_niche,str,2000,12,Finance,derived
creators,secondary_niche,str,2000,12,Gaming,derived
creators,followers,int32,2000,1844,21282,generated — the synthetic creator universe (src/data/generate_synthetic.py)
creators,follower_tier,str,2000,5,Micro,generated — the synthetic creator universe (src/data/generate_synthetic.py)
creators,following,int16,2000,638,133,generated — the synthetic creator universe (src/data/generate_synthetic.py)
creators,follower_following_ratio,float32,2000,1952,160.01504516601562,generated — the synthetic creator universe (src/data/generate_synthetic.py)
creators,avg_likes,int16,2000,1115,430,generated — the synthetic creator universe (src/data/generate_synthetic.py)
creators,avg_comments,int16,2000,243,20,generated — the synthetic creator universe (src/data/generate_synthetic.py)
creators,avg_views,int32,2000,1897,18758,generated — the synthetic creator universe (src/data/generate_synthetic.py)
creators,avg_reach,int32,2000,1910,14754,generated — the synthetic creator universe (src/data/generate_synthetic.py)
creators,engagement_rate,float32,2000,2000,0.021162156015634537,generated — the synthetic creator universe (src/data/generate_synthetic.py)
creators,er_vs_benchmark,float32,2000,2000,1.1152863502502441,generated — the synthetic creator universe (src/data/generate_synthetic.py)
creators,comments_to_likes,float32,2000,2000,0.04818933084607124,generated — the synthetic creator universe (src/data/generate_synthetic.py)
creators,views_to_followers,float32,2000,1989,0.8814021348953247,generated — the synthetic creator universe (src/data/generate_synthetic.py)
creators,follower_growth_rate,float32,2000,2000,0.022687571123242378,generated — the synthetic creator universe (src/data/generate_synthetic.py)
creators,posting_frequency_month,float32,2000,2000,8.266925811767578,generated — the synthetic creator universe (src/data/generate_synthetic.py)
creators,audience_geo,str,2000,7,US/EU,generated — the synthetic creator universe (src/data/generate_synthetic.py)
creators,audience_age_band,str,2000,5,13-17,generated — the synthetic creator universe (src/data/generate_synthetic.py)
creators,audience_gender_skew,float32,2000,2000,0.7304162979125977,generated — the synthetic creator universe (src/data/generate_synthetic.py)
creators,degree_centrality,float32,2000,21,0.003501750761643052,measured — co-behaviour graph (src/network/sna.py)
creators,pagerank,float32,2000,1918,0.0004366243665572256,measured — co-behaviour graph (src/network/sna.py)
creators,pagerank_pct,float32,2000,1920,0.45249998569488525,measured — co-behaviour graph (src/network/sna.py)
creators,eigenvector_centrality,float32,0,0,,measured — co-behaviour graph (src/network/sna.py)
creators,betweenness_centrality,float32,2000,1721,0.12892931699752808,measured — co-behaviour graph (src/network/sna.py)
creators,closeness_centrality,float32,2000,1697,0.09205033630132675,measured — co-behaviour graph (src/network/sna.py)
creators,community,int8,2000,89,28,measured — co-behaviour graph (src/network/sna.py)
creators,community_size,int16,2000,18,152,measured — co-behaviour graph (src/network/sna.py)
creators,network_tier,str,2000,4,Peripheral,measured — co-behaviour graph (src/network/sna.py)
creators,k_core,int8,2000,8,4,measured — co-behaviour graph (src/network/sna.py)
creators,top_keywords,str,2000,2000,fund|treatment|tax|debt|tax-saving|instrument|genuinely|bori,derived
creators,top_hashtags,str,2000,2000,collab|instadaily|viral|taxplanning|contentcreator|creator|e,derived
